Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pmf0459,551.1,303.0,4.59,550.1,[M+H]+,-,Tricetin O-malonylhexoside,Flavonoids,-0.4442855392923083,-0.39942615459093,-0.430429786666481,-0.4330512950632875,-0.4492071026250021,-0.418269978162055,-0.3792521787677255,-0.3350246163860849,-0.4468737938828128,-0.3946597756876454,-0.4328351453223246,-0.4484921457895094,-0.4487470916378246,-0.441032208575764,-0.43811695822329,-0.4403338786434223,0.0409096638578599,1.385471898668136,2.0211738291410906,3.3324822576493816,6
pmb3023,449.1,287.0,3.19,450.1,[M-H]-,-,Eriodictyol C-hexoside,Flavonoids,-0.3282678730042455,-0.3226263592156624,-0.3161460944149692,1.4606048305355763,-0.3302947911097418,-0.3209472314096027,-0.3148505495116555,4.02121122767346,-0.3302947911097418,-0.3184323501266995,-0.3256462997881282,-0.3159225494120445,-0.3218922171037846,-0.3191029851354737,-0.3236348520129479,-0.3207211461225539,-0.3141646727981363,-0.21242629362614,-0.2059739719508125,-0.2404710303566978,5
pmf0426,435.1,285.1,3.52,434.1,[M+H]+,-,Naringenin C-hexoside,Flavonoids,-0.5730286407933398,-0.389018067455264,2.8220305524765057,-0.3519915496494317,-0.3979941929839506,-0.2062897977641435,2.018987893570792,-0.5364829868551158,-0.121978332976837,0.8056080676394038,1.786570357560156,-0.5257436938118656,-0.4883966000942945,-0.2314550068356399,-0.2272875199830354,-0.4021616798365551,-0.7036344729948475,-0.789213815513081,-0.789213815513081,-0.6993066981863736,8
pmf0423,431.1,269.2,4.05,432.1,[M-H]-,-,Heptamethoxyflavone,Flavonoids,-0.5062058724512762,-0.5030494793036827,-0.5062058724512762,-0.4730196290436573,-0.5062058724512762,-0.5005298582943943,-0.4983281376805936,-0.2228976916670345,-0.5062058724512762,-0.5004812909279134,-0.4987593619312034,-0.4961107136182974,-0.49589485865616,-0.4827331023398368,-0.4565606881806864,-0.4323849324213062,0.8045719281066219,2.235150689671728,1.8520081318779804,2.69384248421354,6
pmf0428,447.2,285.0,3.79,446.2,[M+H]+,-,Biochanin A 7-O-glucoside,Flavonoids,-0.5883032298470767,-0.6312568481384658,0.2447259761760847,-0.7483427114909245,-0.7483427114909245,-0.7105762528247169,0.0250321706634142,-0.5521362613757556,-0.2254605193849737,-0.2871119692957647,0.2079446603210223,-0.7483427114909245,-0.6171318287605041,0.4336030035399191,1.219927891144093,3.733980534318499,-0.252318832676111,-0.3825266789822676,0.0657898449892942,0.5608464746060813,0
pmf0429,449.1,287.1,3.94,448.1,[M+H]+,C12249,Kaempferol 3-O-glucoside,Flavonoids,-1.097933196952149,-0.8425353542677566,-0.4501653551862292,1.7547488326190714,-1.097890740324656,-0.4094777538387309,-0.2467273484487376,3.3044157361150943,-1.0995140340963296,-0.6104391239724617,-0.5467541827328991,0.1912835251878096,0.5128924784476008,0.2298482951606559,0.1767775107943537,-0.2127620464543042,-0.136340116966829,0.2687668703626107,0.1767775107943537,0.1350284937595293,9
pmf0431,451.44,153.0,3.85,450.44,[M+H]+,-,Eriodictyol-7-O-glucoside,Flavonoids,-0.495995935188593,-0.4952121517231705,-0.5049027225955494,-0.4852778907325458,-0.4921648730459547,-0.4936915369073067,-0.5071958869352142,-0.5071958869352142,-0.5071958869352142,-0.4490176076769371,-0.4865767072138357,-0.4844451388036459,-0.5071958869352142,-0.4771024617301126,-0.4631032421712989,-0.4276155086394915,1.1018424356286745,2.40497966369602,1.9642634924000344,2.3128037324445714,6
pmf0435,465.0,285.0,3.51,466.0,[M-H]-,-,Taxifolin O-glucoside,Flavonoids,-0.9059641121948026,-0.2142518032165614,-0.1084573664932307,-0.4295068205100712,-0.9059641121948026,-0.1964448188175851,-0.2262977044276339,0.6205815241942766,-0.9059641121948026,-0.2598167338845307,0.0481393492507094,-0.867359617487492,-0.751132382845702,-0.6033867858177238,-0.6374295501098847,-0.4164134496284708,0.2078784740062336,1.9849107700570323,2.0844203887571955,2.482458863557845,6
pmf0438,477.4471,315.0,3.92,476.4471,[M+H]+,-,Irisolidone 7-O-beta-d-glucoside,Flavonoids,2.1109322994856656,-0.4349799889849248,-0.0503487273777615,-0.7531261687842405,2.4328339991139787,-0.7837480996976005,0.2071726323248886,-0.5195823587590326,1.756015040921116,-0.3119970319474413,1.1159258920448176,-0.7845322192223362,-0.7850274526063797,-0.7318311332703675,-0.5934546718788634,-0.479963688035548,-0.6915521513681582,-0.567785074805939,-0.4878048832829043,0.3528537861310353,4
pmf0439,477.1,315.2,3.91,476.1,[M+H]+,-,"3,7-Dimethoxykaempferol-C-glucoside",Flavonoids,2.530609186722369,-0.3728829050793755,0.0661895035495274,-0.7259416114630025,2.22341739298924,-0.7489809959929872,0.0349406831525367,-0.564612955650742,1.4437858061355062,-0.2680139823911694,1.3325611911631663,-0.7329858370779173,-0.7531174923879108,-0.6810280526551243,-0.4247877253998007,-0.4353805458733569,-0.7126476217686895,-0.6466013861160668,-0.5519015710824746,-0.0126210807737303,4
pmf0458,551.0,303.0,4.58,550.0,[M+H]+,-,Quercetin O-malonylhexoside,Flavonoids,-0.4402207213332266,-0.3987575564931712,-0.4350558149532275,-0.4244221841708762,-0.4429550835344027,-0.3956394241584968,-0.4300508127955192,-0.3112099947888506,-0.4380540191211837,-0.3762910132612862,-0.4257733748492351,-0.4438825280236905,-0.4434907626790775,-0.4347679873531037,-0.4285557083170985,-0.4348719250975928,0.0333836042482471,1.130326569164484,2.247257561867095,3.293031175650213,6
pmf0468,595.3,449.1,3.93,594.3,[M+H]+,-,Kaempferol 3-O-glucoside-2'-O-rhamnoside,Flavonoids,-1.272203888460079,-0.9365884620953934,-0.336136936420016,1.9957136487270808,-1.272203888460079,-0.3711146951972224,-0.1962259013111901,2.5170488152635384,-1.272203888460079,-0.5120250948425399,-0.625452969734338,1.034658086134313,1.1179384641752803,0.4933356288680227,0.3617526315632936,-0.3161496456901838,-0.449398250555732,0.0902585991497387,-0.0113434620602417,-0.0396587905941709,9
pmf0469,611.16,302.94,3.71,610.153,[M-H]-,C04194,Rutin,Flavonoids,-1.601895519731052,0.0867315872034102,0.1458151842227996,0.97746157257148,-1.6604509452013287,1.0320691395136428,1.331067948672372,1.5441269803483524,-1.667585737144428,0.956871834216238,0.0204863420604582,0.5853613378064402,0.7966299574515302,0.2433926399063371,0.4958407362619107,0.3606646279296707,-0.959764244852141,-0.9123183260335403,-0.7565524793460587,-1.0179526358560853,1
pmf0470,611.2,465.1,3.45,610.2,[M+H]+,-,C-hexosyl-tricetin O-pentoside,Flavonoids,-1.122785969112757,-0.7007737483980806,-0.7506911970438883,-0.2742639023737725,-1.1247390682743292,-0.3235494845810259,-0.5314335428654664,-0.689400152504099,-1.1247390682743292,-0.6028976370659838,-0.3924229263834697,-0.4935215565521945,0.3594981354964213,1.3142483241523166,2.413695927237199,2.154630687429841,0.7746343856267477,0.4511187690868282,0.5635909951495345,0.0998010292505093,0
pmf0481,743.1774,303.0501,3.43,742.1774,[M+H]+,-,Quercetin-3-pentosylhexoside-7-deoxyhexoside,Flavonoids,-1.1137267648998586,-0.7234366887478043,-0.875943455929805,-0.3035664953498588,-1.1151871601707204,0.0138382138476799,-0.5985717731175413,-0.5461475718987286,-1.1149955258860833,-0.8228043792398266,-0.7142386243521399,-0.6042907768868664,0.2359261935564682,1.201008079630066,2.0302636261821942,1.958776079065632,1.4726607586730047,0.8578678534705645,0.5009067015351945,0.2616617105184308,0
pmf0483,757.5085,287.053,3.0,756.5085,[M+H]+,-,Kaempferol-dihexoside-rhamnoside,Flavonoids,-1.0269280265006255,-0.6238224625659644,0.1964220333954011,0.4445903091872486,-1.0271197606659093,-0.3447137264156529,0.4832658846353287,2.558855100348961,-1.0269673144393514,-0.6302683918073112,-0.1796979378371779,-0.857809694026849,-0.8184895256546343,-0.6992398346897206,-0.6634649274002464,-0.6334913564279844,0.8013724926957875,1.379250049182518,1.192318101183464,1.475938987802718,5
pmf0488,903.0,286.8,4.36,902.0,[M+H]+,-,Kaempferol-ferulyglucosyl-xylosylrhamnoside,Flavonoids,-0.6957757285165207,0.9859762362554384,-0.5965039948579735,0.9412753475403144,-0.6965459592143814,1.5313270785799509,-0.5502213823883144,3.324864275026771,-0.6864765682518146,0.6421232461391,-0.3144757723645529,-0.6404484069948415,-0.6293763407130953,-0.6008365425334393,-0.5723655149518065,-0.5764917508332026,-0.4693471591129516,-0.2216354650331415,0.0121845682459684,-0.1872501660215077,5
