Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15,Cluster
pmb0819,157.0,130.0,2.37,156.0,[M+H]+,C02938,3-Indoleacetonitrile,Others,-0.8089440296091681,-0.5913293846318138,-0.6401646361045644,0.6688583241040414,-0.4305303858800743,-0.2149406171832975,-0.7249712191499262,-0.15300322507151626,1.7372783380322672,3.4929651836623714,0.6629028056317551,-0.4817478447417394,-0.2852157351562799,0.12452393573704165,0.08521751381994976,-0.5567873774925512,-0.7461728649112668,-0.5806094513816978,-0.23161606890570005,-0.3257132607678292,3
pme0543,160.05,115.995,4.36,161.0477,[M-H]-,-,Indole-5-carboxylic acid,Others,0.5918806491266643,0.19766536639600907,1.4295881249293065,-0.35334008560252034,0.4276242813222247,-0.32347529145625853,0.6187589638582999,-0.4175493930169831,0.07820618981096199,0.30965834444449064,3.402157778289895,-1.0414548075265375,-0.84434716616121,-0.7844383891038087,-0.4027663199145835,-0.6927534710747851,-1.2309618587816415,-0.37424544150490363,-0.4294953106754878,-0.16071216335913202,2
pmf0276,146.1,118.1,2.35,145.1,[M+H]+,C08493,Indole-3-carboxaldehyde,Others,-1.1363380368706844,-1.1369948132296483,-0.2799016647815186,-0.9005553240025782,-0.9911904615396218,-1.062450696487225,-0.010623357606244213,-0.9333941419507823,-0.3495199588317116,-0.06053836088751468,2.0549382913358003,-0.5301334575468348,-0.29303719196080047,-0.020475002990705475,0.08132533264872749,0.14043520495549505,0.39001022136184715,1.3292004146804874,1.8119310385190892,1.89731196518442,6
pmf0268,137.10001,93.1,2.66,138.10001,[M-H]-,C00805,Salicylic acid (SA),Others,-0.5476808989969666,-0.18374176854727772,-0.5476808989969666,-0.5476808989969666,-0.5476808989969666,-0.5476808989969666,-0.5476808989969666,-0.5476808989969666,-0.5476808989969666,-0.4270079195050791,-0.5476808989969666,-0.46152117394019276,-0.46026614650618863,-0.19737554990534262,-0.33354602649479115,-0.22707786584344047,0.4186337489516866,1.9685926299467926,1.8117142006962759,3.0207239621202584,6
pmf0293,162.15,118.1,2.7,161.15,[M+H]+,C19837,Indole-3-carboxylic acid,Others,-0.9966567530657593,-0.8083273262802632,-0.6232672428535203,-0.8174337023621462,-1.0011005102483608,-0.9410334645040441,-0.8308617484489907,-0.7416501319180004,-1.0011005102483608,-0.9728272190037591,-0.9670869608196689,0.9405599175132503,1.0269933176124795,0.6226084814339423,1.4221174323518135,1.5872669646842696,1.3449447536917876,0.7445413137167838,0.8880824960244325,1.1242308927241125,0
pme1738,138.07,95.0,0.8,137.07149,[M+H]+,-,3-Carbamyl-1-methylpyridinium (1-Methylnicotinamide),Others,-1.4702505352801951,-1.3787504556226573,0.7510599091719479,0.12808064341849845,-1.1181374627824643,-1.3177504025176319,1.4207626198569059,0.7510599091719479,-1.1970481697779012,-0.9309841083623654,2.4356996736469005,0.507059696751847,-0.1808132425175868,0.6939534764778819,0.4084213130075507,0.6290598029618972,-0.17043025475502946,-0.34434529977786726,0.17999558223128584,0.2033573046970402,2
pme3333,153.06,136.1,1.51,152.059,[M+H]+,-,"1,4-Dihydro-1-methyl-4-oxo-3-pyridinecarboxamide",Others,-0.5719779316941087,-0.5509485935376208,-0.44700587249696483,-0.15082931601818447,-0.5714562114726691,-0.5541591795157106,-0.5660784799593688,-0.11471022376467467,-0.6317349632113044,-0.6383969291158406,-0.608578611844332,-0.6173274586346266,-0.5946928274890937,-0.42172250791950794,-0.2696209972075056,-0.15564519498531912,0.9520069674556483,1.4833589468295036,2.16962169964619,2.8598976849354885,6
pmf0311,184.0,148.0,1.64,183.0,[M+H]+,C00847,4-Pyridoxic acid,Others,-0.9372306483561542,-1.0277091747562193,-0.7149798776103058,-0.3213220670094281,-0.9140505699870594,-1.0098197138872274,-0.48228237908883026,0.006875560963057511,-0.8880010041602814,-0.8884941973170707,-0.3692963104425647,-0.5558129951919555,-0.2585520288726139,1.247032171580401,2.417245025416723,1.9733711843063937,0.8838626652174044,0.43460853512391995,0.5924303452964814,0.8121254787753309,0
pmf0256,132.06604,86.06,1.21,131.06604,[M+H]+,-,delta-Aminolevulinic acid hydrochloride,Others,-0.9911866228004522,-1.0435355808370996,-0.3973531300722335,-0.45133799304752614,-0.9290222351319334,-0.47424066218855926,-0.49387152145230206,-0.38262998562442646,-1.2858131022504584,-0.6361952511144372,-0.8259602239972839,0.9817147332056959,1.8291134914239255,1.8013031074669563,2.298618208815106,0.6103643121332284,-0.14378786458222284,0.060700252748431126,0.2668242750177302,0.20629579228785658,0
pmf0332,229.0,97.0,0.82,230.0,[M-H]-,-,D-Ribulose-5-phosphate,Others,-0.9702791314947664,-1.2230560524728145,-0.4376671949333801,1.3744204419227812,-0.4919845595685356,-1.0301288203057248,-0.29885615197687143,0.8815406517148885,-0.34764119243622416,-0.3712793048237455,3.491791785570974,0.39670787848998135,-0.048895686942868666,0.06476842794180875,-0.022239943186727576,-0.3446235610676044,-0.6162103842433821,-0.11226594568388347,-0.24705348014889913,0.35295222364499496,2
pmf0341,259.0,97.0,0.81,260.0,[M-H]-,-,D-Mannose-6-phosphate,Others,-0.9766986964467402,-0.9717962936967567,-0.7301778724475629,2.2567860887924684,-0.44023576694853067,-0.7855049891973783,-0.601314714447993,2.515913091291603,-0.5943112819480164,-0.5319807326982244,-0.931176385196892,1.136236888796208,0.8098769342972973,0.698522357547669,0.5073286502983071,-0.11947855844960112,-0.7203730669475956,-0.20071837544933005,-0.4367340506985423,0.11583677354961354,9
pmf0382,341.1,101.0,0.79,342.1,[M-H]-,-,D-(+)-Trehalose,Others,-1.0931761824854342,-1.3197041434861598,-0.9788906553740199,0.7143228524442553,1.0476024342998886,0.6721840547383706,0.031163556303397795,1.7179923978025997,1.1982805594300219,1.4689904113587353,1.4357901464995537,0.3133658076064438,0.2571807439985974,-0.23571549583387175,-0.3365932236752321,-0.48854828206917983,-1.042737318564754,-1.1335272736219784,-1.037246505530351,-1.1907338838408763,3
pmf0446,503.2,161.0,0.81,504.2,[M-H]-,C06219,D-(+)-Cellotriose,Others,-0.7209117672236228,-0.6204847136833851,-0.17106071035997056,0.17097182690456317,-0.11480535883619851,-0.3049484469865479,0.2418535698245159,0.37405364590538015,0.06296155197892093,0.07421262228367542,4.160038803455235,0.009518968031337574,-0.10411684204668191,-0.3043858934713102,-0.36570422663222163,-0.34038931844652426,-0.5777869018768421,-0.4062080797293375,-0.5328388760093482,-0.5299698530816359,2
pmf0070,415.386,119.197,7.77,414.3862,[M+H]+,C01753,β-Sitosterol,Others,0.064231183587395,0.18336836457011033,-0.7796302178328166,0.9793419257256779,0.09859394464215976,-0.012907067217274752,0.7078049287656162,1.2187811270488973,1.5423476153235185,-1.836333655240074,-0.5957797391951769,-1.7230853843439564,0.8848605111494887,-1.240324183838222,-0.49029706401765055,-1.60918998047129,1.1644219570187613,0.6887792192550685,0.2079594176789814,0.5470570973907845,5
pmf0073,399.3705,234.995,12.21,400.3705,[M-H]-,C01789,Campesterol,Others,-0.28246581475521415,0.07761119285694458,0.972937806379071,-1.012351640996078,0.20412473607202786,0.028952137774220635,-0.4479066020364771,-2.1081535614590274,0.5544699326676423,1.1675740267099677,0.1554656809893039,1.3330148139912297,0.6712516648661805,1.245428514842326,1.245428514842326,0.749106152998539,-0.8079836096486358,-0.9773171213365166,-1.0473861606556394,-1.7218006641021972,1
